time	RMSD_R1	RMSD_R2	RMSD_R3
37.3	2.01	1.63	1.43
37.4	1.88	1.41	1.38
37.5	2.0	1.45	1.37
37.6	2.07	1.3	1.5
37.7	1.93	1.33	1.33
37.8	1.75	1.4	1.39
37.9	1.74	1.41	1.44
38.0	2.02	1.22	1.62
38.1	1.99	1.33	1.67
38.2	1.81	1.34	1.47
38.3	1.68	1.36	1.36
38.4	1.54	1.33	1.45
38.5	1.66	1.2	1.46
38.6	1.68	1.32	1.4
38.7	1.42	1.34	1.51
38.8	1.49	1.32	1.55
38.9	1.5	1.27	1.51
39.0	1.7	1.46	1.33
39.1	2.0	1.16	1.61
39.2	2.16	1.19	1.46
39.3	1.86	1.16	1.67
39.4	2.03	1.43	1.76
39.5	1.74	1.19	1.68
39.6	1.95	1.41	1.46
39.7	1.5	1.18	1.71
39.8	1.61	1.28	1.59
39.9	1.47	1.16	1.4
40.0	1.41	1.27	1.56
40.1	1.48	1.29	1.56
40.2	1.75	1.34	1.42
40.3	1.54	1.26	1.52
40.4	1.49	1.33	1.7
40.5	1.59	1.4	1.56
40.6	1.41	1.68	1.45
40.7	1.42	1.79	1.34
40.8	1.65	1.28	1.38
40.9	1.39	1.25	1.71
41.0	1.93	1.48	1.62
41.1	1.83	1.35	1.59
41.2	1.84	1.39	1.44
41.3	1.53	1.27	1.43
41.4	1.51	1.29	1.62
41.5	1.45	1.07	1.69
41.6	1.68	1.64	1.84
41.7	1.62	1.64	1.59
41.8	1.67	1.45	1.48
41.9	1.75	1.27	1.64
42.0	1.68	1.43	1.84
42.1	1.61	1.48	1.7
42.2	1.7	1.44	1.52
42.3	1.55	1.62	1.65
42.4	1.81	1.31	1.65
42.5	1.93	1.13	1.39
42.6	1.7	1.24	1.62
42.7	1.87	1.22	1.73
42.8	1.58	1.17	1.59
42.9	1.53	1.27	1.73
43.0	1.27	0.98	1.55
43.1	1.54	1.55	1.66
43.2	1.57	1.06	1.59
43.3	1.64	1.0	1.74
43.4	1.5	1.15	1.51
43.5	1.36	1.1	1.51
43.6	1.44	0.99	1.53
43.7	1.65	0.98	1.66
43.8	1.67	0.94	1.34
43.9	1.76	1.38	1.44
44.0	1.59	1.14	1.34
44.1	1.58	1.11	1.35
44.2	1.7	1.33	1.24
44.3	1.71	1.04	1.46
44.4	1.56	1.07	1.49
44.5	1.31	1.11	1.37
44.6	1.58	1.08	1.48
44.7	1.6	1.02	1.39
44.8	1.52	0.95	1.44
44.9	1.79	1.16	1.4
45.0	1.66	1.02	1.55
45.1	1.32	1.21	1.53
45.2	1.45	1.23	1.41
45.3	1.41	1.3	1.33
45.4	1.74	1.07	1.48
45.5	1.54	1.31	1.51
45.6	1.33	0.99	1.65
45.7	1.42	1.12	1.42
45.8	1.46	0.98	1.35
45.9	1.54	1.18	1.35
46.0	1.47	1.11	1.42
46.1	1.41	1.08	1.3
46.2	1.61	1.16	1.38
46.3	1.45	1.14	1.35
46.4	1.52	1.14	1.56
46.5	1.55	1.05	1.56
46.6	1.67	1.04	1.62
46.7	1.48	1.04	1.58
46.8	1.41	1.02	1.47
46.9	1.61	1.02	1.63
47.0	1.63	1.18	1.58
47.1	1.63	1.11	1.72
47.2	1.53	1.1	1.69
47.3	1.72	1.08	1.48
47.4	1.86	1.22	1.44
47.5	1.57	1.17	1.4
47.6	1.44	1.03	1.67
47.7	1.58	1.0	1.62
47.8	1.44	1.23	1.63
47.9	1.57	1.19	1.57
48.0	1.67	1.11	1.57
48.1	1.57	1.08	1.63
48.2	1.57	1.31	1.65
48.3	1.67	1.4	1.65
48.4	1.5	1.21	1.66
48.5	1.73	1.22	1.5
48.6	1.72	1.05	1.39
48.7	1.72	1.09	1.68
48.8	1.51	1.21	1.56
48.9	1.76	1.29	1.42
49.0	1.6	1.16	1.41
49.1	1.49	1.09	1.62
49.2	1.7	1.15	1.47
49.3	1.77	1.29	1.3
49.4	1.45	1.25	1.28
49.5	1.69	1.3	1.45
49.6	1.4	1.23	1.36
49.7	1.59	1.18	1.45
49.8	1.53	1.45	1.29
49.9	1.51	1.5	1.35
50.0	1.33	1.45	1.38
50.1	1.46	1.32	1.31
50.2	1.53	1.19	1.34
50.3	1.55	1.24	1.47
50.4	1.65	1.25	1.39
50.5	1.92	1.5	1.57
50.6	1.6	1.48	1.57
50.7	1.47	1.53	1.53
50.8	1.48	1.28	1.59
50.9	1.59	1.36	1.51
51.0	1.84	1.44	1.49
51.1	1.66	1.46	1.37
51.2	1.61	1.48	1.5
51.3	1.65	1.49	1.46
51.4	1.76	1.46	1.32
51.5	1.73	1.36	1.58
51.6	1.64	1.41	1.54
51.7	1.57	1.34	1.43
51.8	1.85	1.58	1.59
51.9	1.63	1.43	1.43
52.0	1.75	1.27	1.48
52.1	1.74	1.36	1.56
52.2	1.49	1.27	1.56
52.3	1.49	1.24	1.33
52.4	1.51	1.31	1.4
52.5	1.97	1.39	1.42
52.6	1.62	1.23	1.52
52.7	1.76	1.15	1.59
52.8	1.83	1.25	1.42
52.9	1.4	1.15	1.65
53.0	1.67	1.23	1.27
53.1	1.61	1.28	1.55
53.2	1.83	1.09	1.38
53.3	1.66	1.17	1.56
53.4	1.78	1.39	1.42
53.5	1.47	1.16	1.56
53.6	1.74	1.32	1.56
53.7	1.7	1.17	1.55
53.8	2.0	1.26	1.56
53.9	1.84	1.23	1.39
54.0	1.73	1.06	1.49
54.1	1.6	1.1	1.48
54.2	1.63	1.09	1.69
54.3	1.49	1.24	1.67
54.4	1.69	1.26	1.5
54.5	1.55	1.44	1.5
54.6	1.81	1.06	1.46
54.7	1.73	1.18	1.36
54.8	1.55	1.41	1.49
54.9	1.74	1.01	1.44
55.0	1.67	0.97	1.47
55.1	1.75	0.99	1.42
55.2	1.67	1.19	1.47
